Student_ID,Name,Age,Parent_Name,Knowledge_Level,Learning_Speed,Last_Test_Score,Next_Level
1,Rohan Kaur,6,Neha Kaur,Beginner,Medium,99,Advanced
2,Ananya Sharma,8,Sunita Sharma,Advanced,Fast,75,Intermediate
3,Kabir Patel,7,Neha Patel,Intermediate,Fast,56,Beginner
4,Raj Das,11,Pooja Das,Advanced,Fast,59,Beginner
5,Neha Mehta,9,Suresh Mehta,Intermediate,Medium,95,Advanced
6,Aryan Sharma,6,Pooja Sharma,Beginner,Slow,68,Beginner
7,Meera Patel,8,Suresh Patel,Advanced,Medium,72,Intermediate
8,Simran Kaur,8,Sunita Kaur,Advanced,Slow,52,Beginner
9,Kabir Yadav,10,Rekha Yadav,Advanced,Fast,56,Beginner
10,Simran Gupta,9,Pooja Gupta,Intermediate,Fast,67,Beginner
11,Rohan Yadav,7,Manoj Yadav,Intermediate,Slow,52,Beginner
12,Meera Mehta,4,Suresh Mehta,Intermediate,Medium,60,Beginner
13,Meera Kaur,11,Sunita Kaur,Intermediate,Slow,86,Advanced
14,Aryan Iyer,9,Neha Iyer,Beginner,Fast,95,Advanced
15,Neha Yadav,4,Neha Yadav,Advanced,Slow,50,Beginner
16,Raj Yadav,12,Suresh Yadav,Advanced,Fast,78,Intermediate
17,Raj Kaur,12,Rekha Kaur,Beginner,Slow,82,Intermediate
18,Simran Gupta,6,Rajesh Gupta,Beginner,Medium,76,Intermediate
19,Raj Mehta,12,Anjali Mehta,Beginner,Medium,69,Beginner
20,Rohan Gupta,8,Harpreet Gupta,Beginner,Slow,59,Beginner
21,Ananya Verma,11,Anjali Verma,Advanced,Medium,50,Beginner
22,Rohan Nair,6,Ashok Nair,Intermediate,Slow,72,Intermediate
23,Rohan Kaur,12,Neha Kaur,Intermediate,Slow,84,Intermediate
24,Aarav Kaur,7,Harpreet Kaur,Advanced,Medium,96,Advanced
25,Kabir Iyer,10,Sunita Iyer,Beginner,Fast,73,Intermediate
26,Neha Verma,11,Suresh Verma,Advanced,Medium,64,Beginner
27,Kabir Nair,7,Manoj Nair,Advanced,Slow,70,Beginner
28,Simran Yadav,6,Pooja Yadav,Advanced,Fast,80,Intermediate
29,Aarav Verma,6,Pooja Verma,Advanced,Medium,96,Advanced
30,Kabir Verma,10,Rekha Verma,Beginner,Slow,65,Beginner
31,Ananya Iyer,5,Ashok Iyer,Advanced,Medium,50,Beginner
32,Aarav Patel,8,Ashok Patel,Advanced,Medium,68,Beginner
33,Aarav Verma,4,Rekha Verma,Beginner,Fast,87,Advanced
34,Rohan Verma,12,Rekha Verma,Intermediate,Fast,87,Advanced
35,Rohan Verma,6,Rajesh Verma,Beginner,Fast,57,Beginner
36,Aryan Nair,10,Harpreet Nair,Intermediate,Slow,84,Intermediate
37,Kabir Sharma,9,Neha Sharma,Beginner,Fast,97,Advanced
38,Raj Iyer,12,Pooja Iyer,Intermediate,Slow,86,Advanced
39,Kabir Gupta,8,Neha Gupta,Beginner,Fast,86,Advanced
40,Raj Mehta,5,Manoj Mehta,Beginner,Slow,57,Beginner
41,Ananya Verma,9,Sunita Verma,Beginner,Fast,92,Advanced
42,Ishita Nair,10,Harpreet Nair,Intermediate,Medium,78,Intermediate
43,Kabir Sharma,8,Manoj Sharma,Intermediate,Medium,89,Advanced
44,Rohan Das,12,Harpreet Das,Beginner,Medium,79,Intermediate
45,Aarav Yadav,12,Rajesh Yadav,Advanced,Slow,94,Advanced
46,Ishita Iyer,7,Pooja Iyer,Intermediate,Slow,64,Beginner
47,Simran Nair,12,Harpreet Nair,Intermediate,Medium,92,Advanced
48,Aryan Das,11,Harpreet Das,Intermediate,Slow,86,Advanced
49,Raj Nair,9,Pooja Nair,Advanced,Medium,78,Intermediate
50,Simran Iyer,9,Suresh Iyer,Beginner,Medium,67,Beginner
51,Simran Das,8,Ashok Das,Intermediate,Fast,51,Beginner
52,Simran Das,11,Harpreet Das,Advanced,Medium,76,Intermediate
53,Ananya Sharma,11,Manoj Sharma,Beginner,Medium,90,Advanced
54,Kabir Sharma,7,Rekha Sharma,Advanced,Fast,74,Intermediate
55,Rohan Das,9,Ashok Das,Intermediate,Fast,96,Advanced
56,Ishita Iyer,5,Rajesh Iyer,Intermediate,Fast,69,Beginner
57,Aryan Nair,9,Anjali Nair,Beginner,Slow,88,Advanced
58,Rohan Verma,11,Pooja Verma,Intermediate,Fast,85,Intermediate
59,Aarav Sharma,4,Sunita Sharma,Intermediate,Slow,86,Advanced
60,Neha Iyer,9,Rajesh Iyer,Advanced,Fast,79,Intermediate
61,Rohan Das,4,Harpreet Das,Advanced,Medium,78,Intermediate
62,Neha Nair,4,Pooja Nair,Advanced,Medium,54,Beginner
